Code,Name,ICAO,IATA,PositioningFlightPattern,CharterFlightPattern
AWP,Aeroworld Pakistan,AWP,,,
AWQ,Indonesia AirAsia,AWQ,QZ,,
AWR,Arctic Wings And Rotors Ltd.,AWR,,,
AWS,Arab Wings,AWS,,,
AWT,Albawings,AWT,2B,,
AWU,Sylt Air,AWU,7E,,
AWV,"Airwave Transport, Inc.",AWV,,,
AWY,"Aeroway, S.L.",AWY,,,
AWZ,Air West Cargo,AWZ,,,
AXB,Air India Express,AXB,IX,,
AXD,Air Express,AXD,,,
AXE,AirExplore,AXE,ED,,.*
AXH,Aeromexhaga,AXH,,,
AXI,"Aeron International Airlines, Inc.",AXI,,,
AXK,African Express Airways,AXK,,,
AXL,Air Exel,AXL,XT,,
AXM,AirAsia,AXM,AK,,
AXN,Alexandair,AXN,,,
AXP,Aeromax,AXP,,,
AXQ,Action Airlines (Action Air Charter),AXQ,,,
AXR,"Axel Rent, S.A.",AXR,,,
AXS,Altus Airlines,AXS,,,
AXV,Aviaxess,AXV,,,
AXX,Advance Air Luftfahrtgesellschaft,AXX,,,
AXY,Air X Charter,AXY,,,.*
AYB,Belgian Army,AYB,,,
AYD,Aladia Airlines,AYD,,,
AYE,Yunnan Yingan Airlines,AYE,,,
AYG,Air Thanlwin,AYG,,,
AYJ,Zeman Nextgen,AYJ,,.*,
AYK,Aykavia Aircompany,AYK,,,
AYM,"Airman, S.L.",AYM,,,
AYN,"Atlantic Airlines, S.A.",AYN,,,
AYR,Flight Training Europe,AYR,,,
AYS,Madagasikara Airways,AYS,7D,,
AYT,Ayeet Aviation & Tourism,AYT,,,
AYU,Yuhi Air Lines,AYU,,,
AYY,Air Alliance Express,AYY,,,.*
AYZ,Atlant-Soyuz Airlines,AYZ,3G,,
AZB,Zambia Airways,AZB,ZN,,
AZD,Zimex Aviation Austria,AZD,,,
AZE,Arcus-Air Logistic,AZE,ZE,,.*
AZF,Air Zermatt AG,AZF,,,
AZG,Silk Way West Airlines,AZG,7L,,
AZI,Astra Airlines,AZI,A2,,
AZK,Azalhelikopter,AZK,,,
AZL,Africa One,AZL,,,
AZM,Aerocozumel,AZM,,,
AZN,Amaszonas,AZN,Z8,,
AZO,Azimut,AZO,A4,,
AZP,Paranair,AZP,ZP,,
AZQ,Silk Way Airlines,AZQ,ZP,,
AZR,Zenith Air,AZR,,,
AZS,Aviacon Zitotrans Air Company,AZS,,,
AZT,"Azimut, S.A.",AZT,,,
AZU,Azul Linhas Aéreas Brasileiras,AZU,AD,,
AZV,Azur Air,AZV,ZF,,
AZW,Air Zimbabwe,AZW,UM,,
AZX,Air Max Africa,AZX,,,
AZY,Aztec Worldwide Airlines,AZY,,,
AZZ,Azza Transport,AZZ,,,
BAA,Balkan Agro Aviation,BAA,,,
BAB,Bahrain Air BSC (Closed),BAB,,,
BAC,BAC Leasing Limited,BAC,,,
BAE,BAE Systems,BAE,,,
BAF,Belgian Air Force,BAF,,.*,
BAH,The Amiri Flight,BAH,,,
BAJ,Baker Aviation,BAJ,8Q,,
BAK,Blackhawk Airways,BAK,,,
BAL,Belle Air Europe,BAL,,,
BAM,Business Air Services,BAM,,,
BAN,British Antarctic Survey,BAN,,,
BAP,Trans International Express Aviation,BAP,,,
BAR,Abu Dhabi Aviation,BAR,,,
BAS,Aero Services,BAS,,,
BAT,Premiair,BAT,,,
BAU,Bissau Airlines,BAU,,,
BAV,Bamboo Airways,BAV,QH,,
BAW,British Airways,BAW,BA,9\d\d\d,^(45|85|86)\d\d$
BAX,Best Aero Handling Ltd,BAX,,,
BAY,Bravo Airways,BAY,,,
BBA,Bannert Air,BBA,,,
BBB,SwedJet Airways,BBB,VD,,
BBC,Biman Bangladesh Airlines,BBC,BG,,
BBD,Bluebird Cargo,BBD,BF,,
BBE,Ababeel Aviation,BBE,,,
BBG,Blue Bird Airways,BBG,BZ,,
BBJ,Blue Air Lines,BBJ,,,
BBL,IBM Euroflight Operations,BBL,,,
BBO,Flybaboo,BBO,F7,,
BBR,SBA Airlines,BBR,S3,,
BBS,Beibars CJSC,BBS,,,
BBT,BBN Airlines,BBT,B5,,
BBZ,Bluebird Aviation,BBZ,,,
BCB,Carib Express,BCB,,,
BCC,Business Air,BCC,8B,,
BCF,BACH Flugbetriebsges,BCF,B4,,
BCH,Phillips Air,BCH,,,
BCI,Blue Islands,BCI,SI,,
