ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
4CAC53,EI-HGO,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,65879,2021
4CAC54,EI-HGP,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,62330,2021
4CAC55,EI-HGR,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,65881,2021
4CAC56,EI-HGT,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,65083,2021
4CAC59,EI-GXR,A169,Leonardo,AW-169,Leonardo AW-169,0,Alidaunia,LID,69138,
4CAC5D,EJ-JMMM,GLEX,Bombardier,Global Express XRS,Bombardier Global Express XRS,0,ACASS Ireland,SON,9387,
4CAC5E,EJ-VAIS,PC12,Pilatus,PC-12 NGX,Pilatus PC-12 NGX,0,Fly7,FSF,2115,
4CAC62,EI-AZA,B738,Boeing,737-86N(SF),Boeing 737-86N(SF),0,ASL Airlines Ireland,ABR,28655,2001
4CAC63,EI-AZB,B738,Boeing,737-8AS(SF),Boeing 737-8AS(SF),0,ASL Airlines Ireland,ABR,29925,2000
4CAC64,EI-AZC,B738,Boeing,737-86J(SF),Boeing 737-86J(SF),0,ASL Airlines Ireland,ABR,30877,2001
4CAC65,EI-AZD,B738,Boeing,737-86Q(SF),Boeing 737-86Q(SF),0,ASL Airlines Ireland,ABR,30284,2002
4CAC66,EI-AZE,B738,Boeing,737-86Q(F),Boeing 737-86Q(F),0,ASL Airlines Ireland,ABR,30291,2004
4CAC6D,EI-STW,B734,Boeing,737-4M0(SF),Boeing 737-4M0(SF),0,ASL Airlines Ireland,ABR,29201,1998
4CAC75,EI-BMN,C152,Reims,F152,Reims F152,1,Private,,F15201912,
